หน่วย,ชื่อหน่วยเลือกตั้ง,ตำบล,latitude,longitude,ผู้มีสิทธิ์_แบ่งเขต,ผู้มาใช้สิทธิ์_แบ่งเขต,เปอร์เซ็นต์ใช้สิทธิ์_แบ่งเขต,บัตรเสีย_แบ่งเขต,ไม่เลือกผู้ใด_แบ่งเขต,ก้าวไกล_แบ่งเขต,ชาติพัฒนากล้า_แบ่งเขต,ชาติไทยพัฒนา_แบ่งเขต,ประชาชาติ_แบ่งเขต,ประชาธิปัตย์_แบ่งเขต,พลังประชารัฐ_แบ่งเขต,ภูมิใจไทย_แบ่งเขต,รวมไทยสร้างชาติ_แบ่งเขต,เพื่อไทย_แบ่งเขต,เสรีรวมไทย_แบ่งเขต,ไทยสร้างไทย_แบ่งเขต
10,"ศาลาการเปรียญวัดเนินไม้หอม",เนินหอม,14.1807442,101.3639807,565,454,80.35,19,9,147,0,0,0,0,2,202,4,62,4,4
11,"ศาลาการเปรียญวัดห้วยเกษียร",เนินหอม,14.1810738,101.4122422,637,519,81.48,35,9,191,0,0,0,0,18,208,11,38,1,5
12,"ศาลาอเนกประสงค์ ศาลตาปู่",เนินหอม,14.1972784,101.3704181,399,326,81.70,14,6,90,0,0,0,7,11,122,14,58,1,1
1,"ศาลาการเปรียญวัดดงคุย(ดอนเจดีย์)",โนนห้อม,14.0826391,101.4530066,847,615,72.61,34,20,201,0,0,0,1,72,178,18,80,3,6
1,"อาคารอเนกประสงค์ อบต.โนนห้อม(หลังเก่า)",โนนห้อม,14.0870649,101.4888816,896,710,79.24,46,19,231,0,0,0,5,27,248,29,99,3,2
2,"อาคารกลุ่มออมทรัพย์ หมู่ที่ 5",โนนห้อม,14.1120142,101.4807626,918,698,76.03,26,29,229,0,0,0,3,19,212,28,131,7,5
2,"ศูนย์พัฒนาเด็กเล็กเทศบาลตำบลโคกมะกอก(เต้นท์)",โนนห้อม,14.1180533,101.4798936,935,726,77.65,32,25,201,0,0,0,2,25,301,18,113,3,2
3,"ศาลาการเปรียญวัดทุ่งตะลุมพุก",โนนห้อม,14.1010826,101.4796651,626,483,77.16,25,13,113,0,0,0,1,2,227,10,89,0,2
4,"ศาลาการเปรียญวัดทุ่งไม้ค้าง",โนนห้อม,14.1169322,101.4836097,694,559,80.55,22,6,151,0,0,0,5,18,268,8,67,1,9
1,"ศาลากลางบ้าน หมู่ที่ 1",ไม้เค็ด,14.1333949,101.3513527,488,390,79.92,21,17,85,0,0,0,3,39,144,23,44,2,11
2,"ศูนย์กองทุนหมู่บ้าน หมู่ที่ 2",ไม้เค็ด,14.1017217,101.3219818,862,677,78.54,36,15,219,0,0,0,18,34,221,21,75,3,29
3,"ศาลาการเปรียญวัดเกาะเค็ดใน",ไม้เค็ด,14.1040396,101.3475141,697,375,53.80,27,11,145,0,0,0,5,81,237,17,46,2,4
4,"ศาลาประชาคมบ้านหนองยาว หมู่ที่ 4",ไม้เค็ด,14.0992448,101.3377367,845,641,75.86,32,30,144,0,0,0,5,31,169,20,194,6,5
5,"ศาลาการเปรียญวัดหนองปรือ",ไม้เค็ด,14.1434477,101.3366013,863,523,60.60,15,28,301,0,0,0,3,38,49,20,57,5,2
6,"ศาลาการเปรียญวัดหนองปรือ(หลังเก่า)",ไม้เค็ด,14.1221147,101.3114164,875,550,62.86,24,39,261,0,0,0,9,50,68,31,47,7,9
7,"ศาลาการเปรียญวัดหนองปรือ(หลังใหม่)",ไม้เค็ด,14.1230059,101.3237399,651,511,78.49,28,21,155,0,0,0,39,39,124,41,54,2,7
8,"ศาลากลางบ้าน หมู่ที่ 6",ไม้เค็ด,14.1061262,101.3345898,628,516,82.17,22,26,162,0,0,0,13,14,166,33,62,5,10
9,"ศาลากลางหมู่บ้าน หมู่ที่ 7",ไม้เค็ด,14.0874294,101.3313046,672,515,76.64,19,10,147,0,0,0,9,19,224,23,48,3,11
10,"อาคารโดมวัดแหลมไผ่",ไม้เค็ด,14.0850352,101.3385147,886,698,78.78,28,31,219,0,0,0,5,23,240,31,77,4,36
11,"ศาลาการเปรียญวัดจิกสูง",ไม้เค็ด,14.1095268,101.3280596,179,152,84.92,4,2,33,0,0,0,1,22,75,1,14,0,0
12,"ศาลาการเปรียญวัดเกาะเค็ดนอก",ไม้เค็ด,14.106534,101.355414,484,386,79.75,16,14,92,0,0,0,2,66,111,27,50,5,3
13,"ศาลาการเปรียญวัดเกาะเค็ดนอก",ไม้เค็ด,14.106534,101.355414,683,569,83.31,11,23,162,0,0,0,1,79,129,81,73,4,5
14,"ศาลาประชาคม บ้านอ่าวพยอม หมู่ที่ 11",ไม้เค็ด,14.1234623,101.3446893,556,435,78.24,22,12,162,0,0,0,3,41,127,18,44,4,2
15,"ศาลาประชาคม บ้านอ่าวพยอม หมู่ที่ 11",ไม้เค็ด,14.1420583,101.319092,601,469,78.04,18,10,150,0,0,0,4,44,134,21,74,2,10
16,"ศาลาประชาคมหมู่บ้าน หมู่ที่ 12",ไม้เค็ด,14.1277219,101.3466011,305,250,81.97,9,9,74,0,0,0,3,11,88,8,31,0,15
1,"ศาลาประชาคม หมู่ที่  1",คู้ลำพัน,13.9300148,101.4002576,191,131,68.59,4,2,27,0,0,0,0,6,52,2,34,1,2
2,"ศาลาเอนกประสงค์",คู้ลำพัน,13.931399,101.4160948,134,92,68.66,5,4,15,0,0,0,0,0,54,0,12,0,0
3,"อาคารโรงเรียนวัดคู้ลำพัน",คู้ลำพัน,13.9274245,101.4106232,252,203,80.56,11,2,29,0,0,0,0,3,59,3,91,1,2
4,"โรงพยาบาลส่งเสริมสุขภาพประจำตำบลคู้ลำพัน",คู้ลำพัน,13.9295271,101.4055282,336,256,76.19,12,6,44,0,0,0,0,4,71,3,113,1,2
1,"ศาลาท้ายบ้าน หมู่ที่ 1",ดงพระราม,14.08203,101.3782453,347,292,84.15,7,12,80,0,0,0,2,17,129,14,28,0,1
2,"ศาลาสร้างสุขบ้านเอื้ออาทร",ดงพระราม,14.0636416,101.4145776,1197,905,75.61,26,31,352,0,0,0,1,198,114,43,125,4,4
3,"บริเวณตลาดศาลาสร้างสุข(บ้านเอื้ออาทร)หมุ่ที่ 2",ดงพระราม,14.0705843,101.4064685,800,581,72.63,24,26,281,0,0,0,2,94,55,22,66,4,5
4,"ศาลากลางหมู่บ้าน บ้านต้นกระบก หมู่ที่ 2 (เต็นท์)",ดงพระราม,14.0600494,101.4179747,230,191,83.04,4,9,71,0,0,0,0,18,72,4,11,1,0
5,"ศาลาเรียนรู้บ้านตลาดหลวง หมู่ที่ 3",ดงพระราม,14.0671944,101.3941758,767,571,74.45,9,24,167,0,0,0,0,25,260,41,36,3,5
6,"ศูนย์การเรียนรู้บ้านดงตาแทน หมู่ที่ 4",ดงพระราม,14.0833382,101.4107659,581,473,81.41,26,8,155,0,0,0,1,32,175,13,58,3,1
7,"ศาลากลางบ้าน หมู่ที่ 5",ดงพระราม,14.0683894,101.3906887,919,734,79.87,20,14,193,0,0,0,3,103,280,6,105,2,5
8,"ศาลากลางบ้าน หมู่ที่ 6",ดงพระราม,14.0807986,101.4139363,533,412,77.30,13,16,106,0,0,0,1,47,169,14,42,3,0
9,"ศาลาอเนกประสงค์ หมู่ที่ 7",ดงพระราม,14.079579,101.3884563,488,389,79.71,12,8,112,0,0,0,0,66,116,8,60,1,4
10,"ศาลาประชาคม หมู่ที่ 8",ดงพระราม,14.0762118,101.3810451,549,425,77.41,10,16,112,0,0,0,2,25,172,22,55,2,4
11,"ศาลาร่วมใจกรอกตากแดด หมู่ที่ 9",ดงพระราม,14.0866949,101.4130337,897,690,76.92,17,35,248,0,0,0,3,27,247,24,74,5,10
12,"ศาลาการเปรียญวัดป่าทรงคุณ",ดงพระราม,14.086856,101.3762908,393,290,73.79,5,10,83,0,0,0,1,15,123,25,23,2,3
13,"เต็นท์บริเวณ หมู่ที่ 11",ดงพระราม,14.0771997,101.3961615,575,448,77.91,14,27,144,0,0,0,7,41,96,53,54,5,6
14,"เต็นท์บริเวณหน้าประตูค่าย ร.2 พัน 2 รอ.(ตรงข้ามวัดป่าทรงคุณ)",ดงพระราม,14.086856,101.3762908,865,433,50.06,14,26,250,0,0,0,2,27,47,19,27,7,5
